price_lag,garage_spaces,total_livable_area,med_hh_inc,number_of_rooms,number_of_bathrooms,depth,off_street_open,fireplaces,interior_condition,number_stories,pct_white,number_of_bedrooms,exterior_condition,dist_to_commerce,year_built,tot_pop,total_area,sale_price,musa_id,hood_price_class_expensive,hood_price_class_least_expensive,hood_price_class_less_expensive,hood_price_class_more_expensive,hood_price_class_most_expensive,building_type_price_class_expensive,building_type_price_class_least_expensive,building_type_price_class_less_expensive,building_type_price_class_more_expensive,building_type_price_class_most_expensive,quality_grade_high,quality_grade_lowest,quality_grade_mid,to_predict
202583.19999999998,1,1120,63403,1,1,87,1088,0,2,2,0.09002476123098692,3,4,787.1880366824827,1949,5654,1376,255000,11,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
200990,1,1170,58321,4,1,117,1422,0,4,2,0.5636752790093258,3,4,684.0222963219181,1950,6541,1899,185000,12,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
61573.333333333336,0,1429,19409,4,1,95,233,0,4,2,0.35058823529411764,3,4,62.17745750739748,1920,3825,1419,130000,13,0,1,0,0,0,0,0,1,0,0,0,0,1,MODELLING
175883.33333333334,0,1024,39340,4,1,51,1104,0,4,2,0.17671184022824538,3,5,169.7824555348555,1920,5608,714,175000,14,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
176106.3365079365,1,1140,36861,5,2,65,1334,0,2,2,0.2162048108032072,3,4,245.6537799476551,1925,7109,903,325000,15,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
507933.3333333333,0,2400,66667,4,1,110,1535,0,4,3,0.5788952192221947,3,4,638.2058642333361,1925,4037,2255,500000,16,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
166806.53333333335,1,1162,41752,4,1,90,3628,0,4,2,0.5430823593367763,3,3,494.1545031795295,1950,3679,4500,207500,17,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
123760.00000000001,0,1436,41537,4,1,87,2197,0,4,2,0.08686310620012277,3,4,0,1925,3258,1336,82000,18,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
128266.6666666667,0,1240,21332,4,1,70,1050,0,5,2,0.004734458624948539,3,3,231.01412992019365,1915,4858,1055,177777,19,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
207155.33333333337,1,1208,69205,4,1,100,2746,0,4,2,0.4336283185840708,3,4,2195.3697922987562,1925,3390,1798,250000,20,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
132266.66666666666,1,1160,29738,4,1,61,2224,0,4,1,0.053842716711349416,3,4,1342.0034038078604,1925,4476,974,90000,21,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
201559.99999999997,1,1408,35609,4,1,81,4040,0,4,2,0.026618705035971222,3,5,951.6075881208673,1925,5560,1298,95000,22,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
210930,0,1156,51498,5,2,114,2794,0,4,2,0.028744725738396624,3,4,1821.6310786896956,1950,3792,1992,125000,23,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
326616.6666666667,0,1508,49526,5,1,76,1605,0,4,2,0.6271758898415173,4,4,360.162718174383,1925,3849,1506,395000,24,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
418914.82659932657,1,1844,47616,4,1,111,5914,0,4,1,0.7457727093983484,3,4,1983.233617891162,1962,5086,5883,499900,25,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
280083.5142564103,1,1164,45956,4,1,143,1621,0,4,2,0.643378519290928,3,4,1048.5126038716267,1955,5754,2317,294900,26,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
280520,0,1164,45956,4,1,147,1621,0,4,2,0.643378519290928,3,4,540.1958501848802,1954,5754,2395,290000,27,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
409326.66666666657,1,1730,60050,4,1,100,4193,0,4,1,0.7570020746887967,3,4,444.34090574900983,1956,7712,6500,405000,28,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
376593.3333333333,1,1128,47616,4,1,36,5789,0,4,1,0.7457727093983484,3,4,1478.745982386588,1959,5086,4393,380000,29,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
296410.00000000006,0,1200,60341,4,1,100,2151,0,4,2,0.6157337367624811,3,4,1608.4579851530086,1960,3966,5500,225000,30,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
281326.4666666667,0,1260,78574,4,1,105,5868,0,5,2,0.8456351375979588,3,4,1665.8827767850714,1964,5487,1898,324900,31,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
291193.3333333334,1,1470,70441,4,1,186,12685,0,4,2,0.9076030660865962,3,4,369.74734236681843,1992,4827,3534,295000,32,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
322566.66666666674,1,1302,70441,4,1,141,8405,0,4,1,0.9076030660865962,3,4,2612.6991405112344,1956,4827,6937,310000,33,1,0,0,0,0,0,0,1,0,0,0,1,0,MODELLING
417767.177986111,0,840,67585,3,1,48,692,0,4,2,0.6489788793855821,2,4,83.47446091375508,1920,5729,672,295000,34,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
173097.39999999997,0,940,47409,4,1,44,2330,0,4,2,0.3603988603988604,3,4,87.65379106142058,1925,4212,611,138000,35,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
192778.66666666666,0,1250,36365,4,1,60,2412,0,4,2,0.410240841934831,3,4,436.5490764647157,1925,4941,890,251000,36,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
68319,0,1424,26025,5,2,45,1365,0,2,2,0.012654320987654321,3,2,417.07488973431424,1940,3240,658,220000,37,0,1,0,0,0,0,1,0,0,0,0,0,1,MODELLING
147759.99999999997,0,1220,28621,4,1,59,2654,0,4,2,0.42791145332050046,3,4,1350.937582906217,1940,5195,944,100000,38,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
563793.3333333334,0,824,116250,3,1,0,656,0,4,1,0.8762595727529222,2,4,405.3549515606973,1900,2481,593.7166666666666,319000,39,0,0,0,1,0,0,0,1,0,0,0,0,1,MODELLING
84333.33333333333,0,1122,25334,1,1,51,1768,0,4,2,0.3093306288032454,3,4,0,1920,6902,777,150000,40,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
239201,0,800,63726,4,1,45,656,0,4,2,0.8014103297122165,3,4,212.89174702664272,1920,5247,630,170000,41,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
381613.33333333326,0,791,87784,3,1,0,185,0,3,1,0.5974197816738339,2,2,0,1925,3023,858.0833333333333,308000,42,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
439266.66666666674,0,1566,56198,4,1,0,5992,0,4,1,0.5014120667522465,3,4,335.98278948389645,1970,3895,2182.95,302500,43,0,0,0,0,1,0,0,1,0,0,0,0,1,MODELLING
265713.3333333334,1,1260,78574,4,1,140,5143,0,4,2,0.8456351375979588,3,4,1789.7391509857807,1961,5487,2681,198440,44,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
312580,0,1060,61633,4,1,46,1143,0,3,1,0.7523260141421659,3,4,639.3330444189957,1905,5374,644,281475,45,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
307773,1,1184,100368,4,1,116,3300,0,3,2,0.8351648351648352,3,4,139.91076240743766,1940,4095,1863,335000,46,1,0,0,0,0,0,1,0,0,0,0,0,1,MODELLING
143926.6666666667,0,966,34386,3,1,65,1401,0,4,2,0.34939531368102794,2,4,483.3147536696651,1930,5292,915,150000,47,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
101933.33333333333,1,992,43235,4,1,68,1512,0,4,2,0.07057529078906004,3,7,326.43664760778023,1925,6362,1110,235000,48,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
297786.6666666667,1,1360,70441,4,1,102,9713,0,4,2,0.9076030660865962,3,4,3176.828584863685,1970,4827,2040,330000,49,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
362273.3333333333,2,1440,58068,4,1,113,5649,0,4,1,0.6842948717948718,3,4,847.2552210082168,1960,3120,4321,330000,50,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
115366.66666666666,0,1476,41345,3,1,77,2144,0,4,2,0.04698375870069606,2,4,0,1925,5172,1155,260000,51,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
89516.66666666667,1,1500,38378,4,1,80,386,0,4,2,0.008060033351862146,3,5,55.86581096883852,1925,3598,1560,340000,52,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
212066.60000000003,0,1022,59219,4,1,0,3903,0,4,1,0.8419979612640163,3,4,973.579497316502,1986,3924,1975.9083333333333,200000,53,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
139216.6666666667,0,1878,21332,6,3,65,1471,0,2,3,0.004734458624948539,3,4,552.3566669381878,1915,4858,1018,279999,54,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
84437.8,0,1022,41202,4,1,65,421,0,4,2,0.031018027571580065,3,4,516.3542833012846,1925,3772,947,140000,55,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
206093.3333333333,0,1240,60231,4,1,90,2417,0,4,2,0.5994654448262696,3,5,722.2493568097074,1925,7857,2025,175000,56,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
212500,0,1172,39340,4,1,68,2282,0,4,1,0.17671184022824538,3,4,0,1920,5608,1054,162000,57,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
321153.3333333333,0,1752,65572,4,1,150,3965,0,4,1,0.5236999539806719,3,4,306.18773853975,1940,4346,11276,600100,58,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
319148.81333333335,1,1815,57636,4,1,127,2594,0,4,3,0.782729398012858,3,4,473.18509607225053,1960,6844,3167,320000,59,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
347716.66666666674,0,1486,54286,6,3,50,72,0,1,3,0.3698074974670719,3,1,1314.2720610771505,2016,2961,700,490000,60,1,0,0,0,0,1,0,0,0,0,0,0,1,MODELLING
165637.66666666666,1,1248,33468,4,1,75,2906,0,4,2,0.019225167491989513,3,4,867.6869189126948,1925,6866,1192,195000,61,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
368526.6666666667,0,1654,72857,5,1,46,2036,0,5,2,0.9072233267064281,4,6,695.4203076313369,1875,4527,649,595000,62,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
346793.3333333333,0,730,79688,3,1,47,912,0,4,2,0.9189655172413793,2,4,743.2377371477118,1875,2320,591,165000,63,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
323000,1,1400,56181,2,1,0,5950,0,3,1,0.798669366502748,2,1,3232.0813506497857,2011,3457,2391.078571428571,335000,64,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
388079.99999999994,0,750,81483,1,1,0,593,1,4,1,0.8483691880638445,3,4,98.27348254178169,1900,2882,2021.6879464285714,325000,65,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
61333.333333333336,0,924,28681,4,1,50,2061,0,4,2,0.03686856595642806,3,5,70.49141793191149,1920,4177,700,30000,66,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
241453.3333333333,0,1140,63726,4,1,58,809,0,4,2,0.8014103297122165,3,4,402.2342875043721,1925,5247,870,291750,67,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
294713.3333333333,0,1082,61542,4,1,53,1266,0,4,1,0.747020854021847,3,4,487.7348536327276,1940,4028,750,299000,68,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
190862.8666666667,0,1320,41752,4,1,113,2486,0,4,2,0.5430823593367763,3,4,749.4554573834429,1960,3679,2802,265500,69,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
485428.3333333334,0,2022,66667,5,2,0,1624,1,4,1,0.5788952192221947,3,4,112.4370108517344,1920,4037,1930.7,410000,70,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
329483.3333333334,0,1498,23393,7,2,65,1273,0,3,2,0.5657106838953672,5,4,427.30026185336686,1915,3173,975,200000,71,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
152753,0,1110,43839,4,1,63,727,0,4,2,0.013863025036209394,3,4,192.7877867291011,1925,4833,945,52500,72,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
434508.19999999995,0,1462,72596,4,1,57,461,0,3,2,0.6080227416298168,3,3,0,1983,3166,1012,515000,73,0,0,0,1,0,0,0,1,0,0,0,0,1,MODELLING
102546.19880984338,0,840,27619,4,1,64,598,0,4,2,0.3512521933322699,3,3,139.79774841769486,1920,6269,892,50000,74,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
100100,0,1072,39946,4,1,90,18,0,4,2,0.4337549933422104,3,5,784.0505170111281,1925,3004,2853,60000,75,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
132200,0,1888,28906,5,1,104,1269,0,4,2,0.2160527762506872,4,4,926.9692480907233,1925,7276,2590,145000,76,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
339133.3333333334,0,1182,29656,4,1,60,926,0,4,2,0.12742175856929955,3,3,57.12380005507353,1930,2684,900,330000,77,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
176838.33333333328,0,1064,45730,4,1,103,899,0,4,2,0.1111111111111111,3,5,365.2759279865534,1925,4968,1444,96000,78,1,0,0,0,0,0,1,0,0,0,0,0,1,MODELLING
314606.6666666667,0,2100,74688,4,1,117,644,0,4,3,0.8374622356495468,3,3,458.18314580873863,1900,3310,2591,300000,79,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
386900,2,2700,76214,5,2,72,473,0,1,3,0.8524416135881104,3,1,357.707975378463,2016,3768,1440,720000,80,1,0,0,0,0,1,0,0,0,0,0,0,1,MODELLING
314333.3333333333,0,1024,81989,4,1,79,1330,0,4,2,0.8004104669061057,3,4,617.6026476168128,1950,3898,1064,300000,81,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
310233.3333333334,0,1062,75784,4,1,85,1684,0,3,2,0.8399257195914578,3,4,282.9656283763683,1925,5385,1241,285000,82,1,0,0,0,0,0,1,0,0,0,0,0,1,MODELLING
132934.93333333335,0,1440,31611,4,1,90,2696,0,4,2,0.013598834385624089,3,4,1252.348283893591,1915,4118,1710,110000,83,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
451249.99999999994,0,1566,107414,4,1,52,1019,0,3,3,0.7621298830554865,3,4,155.42183249131136,1920,4019,730,542893,84,1,0,0,0,0,1,0,0,0,0,0,0,1,MODELLING
169859.79999999996,0,986,31724,3,1,48,1069,0,4,2,0.09307479224376732,2,4,713.0666086096674,1925,3610,1872,100000,85,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
215793.33333333337,1,1384,58798,4,1,77,1783,0,4,2,0.014328149571902848,3,4,914.7008974200738,1925,5723,1232,93000,86,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
144066.6666666667,0,1188,44597,4,1,62,605,0,4,2,2.742355683532154e-4,3,4,743.8731659924912,1925,7293,1643,139900,87,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
70266.66666666667,0,928,19125,4,1,50,2456,0,4,2,0.3719552337063858,3,5,663.2227382458643,1935,4557,644,20000,88,0,1,0,0,0,0,0,1,0,0,0,1,0,MODELLING
427753.26666666666,1,2646,111104,5,2,81,1032,1,3,3,0.8145464304884594,3,3,64.27553509206513,2006,3726,1281,790000,89,0,0,0,1,0,1,0,0,0,0,0,0,1,MODELLING
105120,0,1676,24851,5,1,78,1174,0,4,2,0.028495887191539365,4,4,484.18328802814443,1925,3404,1253,70000,90,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
523459.99999999994,0,804,116250,4,1,36,631,0,4,2,0.8762595727529222,3,4,250.3391251304372,1960,2481,666,275000,91,0,0,0,1,0,0,0,1,0,0,0,0,1,MODELLING
298500.0666666667,1,1117,84550,4,1,110,2078,0,4,1,0.7176847789402633,3,4,684.1027149695567,1962,5926,3241,350000,92,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
328960,1,1120,90325,7,1,92,1306,0,3,2,0.7622456669178599,4,4,52.29994451542434,1955,2654,1967,383000,93,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
93060.00000000001,0,1260,18814,4,1,137,108,0,4,1,0.19477866061293983,3,4,434.67636091126394,1915,4405,2463,30000,94,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
140933.33333333334,0,788,19843,4,1,43,459,0,4,2,0.624451594033343,3,4,1448.180086004376,1920,3419,595,120000,95,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
373233.3333333334,0,1656,75784,5,1,104,1288,0,2,2,0.8399257195914578,4,2,1360.3391681067262,1920,5385,2600,395000,96,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
239263.3333333333,0,744,32059,3,1,46,1526,0,3,2,0.24017278617710583,2,3,461.42126692675424,1920,2315,555,200000,97,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
473103.6666666667,1,960,56198,4,1,82,5964,0,3,2,0.5014120667522465,3,4,211.46144267467992,1925,3895,1323,435000,98,0,0,0,0,1,0,1,0,0,0,0,0,1,MODELLING
1082300,0,1943,125833,5,2,154,2244,1,4,1,1,3,3,1419.4059244658447,1958,1866,30478,910000,99,0,0,0,0,1,0,0,1,0,0,0,0,1,MODELLING
821950,0,2400,115132,4,1,60,913,0,3,2,0.9263191763191764,3,4,52.56802704201039,1970,3108,1440,1500000,100,0,0,0,0,1,0,0,1,0,0,0,0,1,MODELLING
109314.40000000001,0,1494,24851,4,1,80,610,0,4,1,0.028495887191539365,3,4,471.56779632904176,1925,3404,1233,180000,101,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
134686.66666666666,0,1146,28192,4,1,76,509,0,4,1,0.022696929238985315,3,4,58.567433203935735,1920,2996,1140,73500,102,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
121293.33333333333,0,1254,24851,4,1,75,1137,0,4,2,0.028495887191539365,3,4,259.7420302433878,1925,3404,1047,70000,103,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
344359.13333333336,0,1120,72244,4,1,51,1341,0,3,2,0.7274562584118439,3,3,0,1920,2972,714,367000,104,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
355293.3333333333,1,1500,89181,4,1,194,3861,0,4,1,0.8461792920939464,3,4,698.2318043109454,1925,3023,20758,700000,105,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
62700,0,1140,18516,4,1,50,686,0,4,2,0.21764032073310424,3,4,29.56249279127727,1920,3492,713,70000,106,0,1,0,0,0,0,0,1,0,0,0,0,1,MODELLING
222566.66666666666,1,1184,50870,4,1,102,1594,0,4,2,0.4764999244370561,3,4,893.8956456017647,1925,6617,1640,179900,107,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
356400.00000000006,1,1087,58370,4,1,134,1524,0,4,1,0.6559463528123717,3,3,156.37266057515697,1956,7307,4896,330000,108,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
279913.3333333333,1,1104,48539,4,1,115,1681,0,4,1,0.5965417867435159,3,4,193.72964911723872,1958,7634,3450,270000,109,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
164943.3333333333,1,1040,41345,4,1,75,4034,0,4,2,0.04698375870069606,3,4,676.1822650400488,1920,5172,1222,190000,110,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
151146.66666666666,1,1136,30395,4,1,84,3816,0,4,2,0.03356930806120119,3,4,873.1135747899262,1950,4379,1260,75000,111,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
74131.33333333333,0,1140,30958,4,1,74,1156,0,4,2,0.16422862313376566,3,4,588.8666505755533,1950,6631,1110,128000,112,0,1,0,0,0,0,1,0,0,0,0,0,1,MODELLING
226493.33333333334,1,1200,29167,4,1,127,1863,0,4,2,0.048880089097883925,3,4,655.6999572282333,1920,8081,1909,125000,113,1,0,0,0,0,0,1,0,0,0,0,0,1,MODELLING
144440,1,1118,53889,4,1,73,2873,0,4,2,0.12632531678303593,3,4,740.7139262622902,1945,7734,1117,182000,114,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
626223.3333333335,0,1176,115476,4,1,37,737,1,3,3,0.7317476048893293,3,4,141.44081290338895,1920,3027,740,505000,115,0,0,0,1,0,0,0,1,0,0,0,0,1,MODELLING
86873.33333333333,0,1960,27619,4,1,112,1065,0,7,3,0.3512521933322699,3,7,76.08693884056393,1925,6269,1791,100000,116,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
210858.33333333334,0,1102,45730,4,1,101,995,0,4,2,0.1111111111111111,3,4,141.19535177383392,1925,4968,1458,125000,117,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
50866.66666666667,0,756,25202,4,1,50,927,0,4,2,0.343109987357775,3,5,1066.0568166786993,1920,3955,709,20000,118,0,1,0,0,0,0,1,0,0,0,0,0,1,MODELLING
543660,0,1956,107414,6,3,65,1041,0,1,2,0.7621298830554865,3,1,414.08162302932067,2013,4019,985,575000,119,1,0,0,0,0,1,0,0,0,0,0,0,1,MODELLING
405717.7333333334,0,1334,87784,5,2,50,543,0,3,3,0.5974197816738339,3,3,80.12292277853187,1920,3023,700,472500,120,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
164793.33333333334,0,1056,44597,4,1,68,1013,0,4,2,2.742355683532154e-4,3,4,644.0987272009087,1925,7293,1080,70000,121,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
916699.2666666665,1,2810,98750,8,3,138,2222,1,4,3,0.9230313795145056,5,3,83.33914917962171,1926,1689,4600,985000,122,0,0,0,0,1,0,0,1,0,0,0,0,1,MODELLING
996528.0000000001,2,5506,98750,4,1,237,4386,3,3,3,0.9230313795145056,3,3,918.4589015304289,1925,1689,18999,2200000,123,0,0,0,0,1,0,0,0,1,0,0,0,1,MODELLING
146293.33333333334,0,984,25565,4,1,91,2821,0,4,1,0.033501683501683505,3,4,356.35957446743623,1925,5940,1336,40000,124,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
625344.3333333333,0,882,72596,4,2,31,260,0,3,3,0.6080227416298168,2,4,82.16021932234779,1920,3166,364,424000,125,0,0,0,1,0,0,0,1,0,0,0,0,1,MODELLING
548223.3333333334,0,2835,115476,9,3,90,1006.1485714285715,0,2,3,0.7317476048893293,6,2,78.69615526962372,1915,3027,1800,1510000,126,0,0,0,1,0,0,0,1,0,0,0,0,1,MODELLING
636060,0,1206,94688,4,1,42,213,0,4,3,0.7403440441415124,3,4,229.2542282757354,1920,3081,546,490000,127,0,0,0,1,0,0,0,1,0,0,0,0,1,MODELLING
242333.3333333333,0,1038,60641,4,1,73,1488,0,4,2,0.7714878009886781,3,4,326.21506938437165,1925,6271,1034,325000,128,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
244013.33333333334,0,928,45730,4,1,101,1393,0,2,3,0.1111111111111111,3,2,278.1553859040044,1925,4968,1557,265000,129,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
341433.33333333326,0,1731,81989,5,1,100,1126,0,4,3,0.8004104669061057,4,4,610.6954152745194,1900,3898,1542,319000,130,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
147560,0,1200,30123,4,1,80,1142,0,4,2,0.015440877691995123,3,4,257.6487900448844,1920,4922,1277,152000,131,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
124092.13333333333,0,1038,31724,4,1,97,1180,0,4,2,0.09307479224376732,3,4,43.46788117253332,1925,3610,1456,62500,132,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
147426.6666666667,0,1120,44597,4,1,79,402,0,4,2,2.742355683532154e-4,3,4,669.1624188303397,1925,7293,1161,70000,133,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
102113.59999999998,0,736,34452.409999999996,3,1,60,2638,0,4,2,0.42094017094017094,2,4,752.9498661297235,1935,2340,960,85000,134,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
495573.3333333333,0,1530,72244,5,2,80,653,0,2,3,0.7274562584118439,3,2,0,1915,2972,1360,675000,135,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
168266.66666666666,1,1568,52699,5,1,94,3619,0,4,2,0.1061301084236864,4,4,471.6916470088463,1945,4796,1504,230000,136,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
218600,0,990,61858,4,2,49,769,0,2,2,0.7688297681107317,2,4,829.0008178323104,1920,5563,690,285000,137,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
302193.3333333333,1,1680,56181,6,2,103,6110,0,4,2,0.798669366502748,4,4,2049.2158305270123,1956,3457,2884,358800,138,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
336966.6666666667,1,1548,62214,5,1,100,2943,0,4,2,0.6665664461815995,4,4,2075.6486745927155,1969,6652,3453,385000,139,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
